parent_mol_id,seed_smiles,status,atom_a,atom_b,path_bonds,linker_length,target_ring,anchor_score_a,anchor_score_b,linker_probability,chemotype,generated_smiles,candidate_id,inchikey
JAK2_1cc95fb461,Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CC4)C(F)(F)F)c23)cn1,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_f6c9a7f30d,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_1225662731,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(F)c4)nn23)cn1,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_155bd54352,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)c(Cl)c4)nn23)cn1,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_1e3c7a3902,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C[C@H](C)O)CC4)cc3)nn12,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_b21735112e,CC(C)(O)c1cc(Cl)c(Nc2nc3ccncc3c3c(=O)[nH]ccc23)c(Cl)c1,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_698071eb2b,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(Cl)c3)nn12,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,CAND_6d30b04ba5,FYCAHTMFAMULSV-PNDQRGPWSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,CAND_956024a173,SPVWFDQKMXQKBE-PNDQRGPWSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,CAND_44327fe5a9,XBZKYLTXKLNUSQ-BEFRKJEDSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,CAND_fd6a72e89d,OCXBEBDLAHWVLE-PNDQRGPWSA-N
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,25.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,,
JAK2_9dcdbe0544,N#C[C@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,,
