epoch,train_loss,val_size_exact_accuracy,val_size_within_one_accuracy,val_chemo_accuracy,val_combined
246,1.30664,0.530095,0.783415,0.744885,0.768003
247,1.310297,0.537753,0.784253,0.752782,0.771664
248,1.305849,0.535838,0.782099,0.752184,0.770133
249,1.302027,0.539428,0.78186,0.741773,0.765825
250,1.299981,0.545291,0.790116,0.75003,0.774082
251,1.306604,0.551873,0.794903,0.753261,0.778246
252,1.294456,0.538112,0.785808,0.764389,0.777241
253,1.301248,0.547326,0.790355,0.7535,0.775613
254,1.297228,0.53524,0.777432,0.7395,0.762259
255,1.29502,0.530932,0.784372,0.752184,0.771497
256,1.293471,0.54218,0.785449,0.75015,0.771329
257,1.292935,0.537035,0.784492,0.749551,0.770516
258,1.290927,0.534881,0.787962,0.736748,0.767476
259,1.295069,0.550796,0.791193,0.761398,0.779275
260,1.284712,0.541343,0.784253,0.727653,0.761613
261,1.290684,0.53512,0.777671,0.745124,0.764652
262,1.288893,0.535838,0.791193,0.758765,0.778222
263,1.284796,0.551753,0.78509,0.736987,0.765849
264,1.286288,0.53883,0.78533,0.755056,0.77322
265,1.279826,0.540266,0.783774,0.75015,0.770324
266,1.286682,0.541223,0.789039,0.753859,0.774967
267,1.278262,0.52483,0.784492,0.75015,0.770755
268,1.279371,0.537753,0.782817,0.754218,0.771377
269,1.282555,0.531052,0.779825,0.758526,0.771305
270,1.283792,0.534881,0.784971,0.756851,0.773723
271,1.279545,0.53536,0.783415,0.754218,0.771736
272,1.265544,0.537513,0.785808,0.755893,0.773842
273,1.27447,0.548762,0.791911,0.751107,0.775589
274,1.267817,0.542539,0.784612,0.746919,0.769535
275,1.266279,0.54565,0.788082,0.763671,0.778318
276,1.263961,0.547326,0.788321,0.747876,0.772143
277,1.263979,0.54242,0.784253,0.758047,0.77377
278,1.263089,0.545291,0.786885,0.754218,0.773818
279,1.269699,0.548044,0.789278,0.755774,0.775877
280,1.266124,0.54589,0.784731,0.754098,0.772478
281,1.26241,0.540385,0.782577,0.760919,0.773914
282,1.261254,0.53883,0.781022,0.757927,0.771784
283,1.26062,0.542778,0.791791,0.758885,0.778629
284,1.25673,0.535479,0.782936,0.755056,0.771784
285,1.263423,0.540266,0.787603,0.753979,0.774153
286,1.259403,0.535958,0.783535,0.756731,0.772813
287,1.25466,0.546488,0.788321,0.729927,0.764964
288,1.256438,0.546129,0.786287,0.767141,0.778629
289,1.25307,0.539907,0.784372,0.743927,0.768194
290,1.255031,0.544813,0.785928,0.759483,0.77535
291,1.25202,0.554864,0.791791,0.76403,0.780687
292,1.250944,0.522436,0.780663,0.746679,0.76707
293,1.251221,0.552232,0.790954,0.752184,0.775446
294,1.244541,0.543018,0.786885,0.749192,0.771808
295,1.253522,0.542778,0.784013,0.745722,0.768697
296,1.252477,0.55295,0.792629,0.757688,0.778653
297,1.244006,0.544573,0.783176,0.761876,0.774656
298,1.24904,0.532966,0.779586,0.752303,0.768673
299,1.245578,0.548403,0.790714,0.762834,0.779562
300,1.240784,0.553907,0.790595,0.758885,0.777911
301,1.243015,0.541223,0.78509,0.751825,0.771784
302,1.24032,0.549958,0.791193,0.745602,0.772957
303,1.248082,0.52459,0.780424,0.751466,0.76884
304,1.236689,0.546608,0.794903,0.761996,0.78174
305,1.237784,0.54577,0.788919,0.756013,0.775757
306,1.229884,0.547086,0.785569,0.745722,0.76963
307,1.245062,0.537753,0.788082,0.763552,0.77827
308,1.237793,0.551633,0.794663,0.75709,0.779634
309,1.233044,0.548403,0.783415,0.757568,0.773076
310,1.233305,0.553668,0.789757,0.768817,0.781381
311,1.237099,0.554984,0.794903,0.758765,0.780448
312,1.231978,0.547565,0.785689,0.75015,0.771473
313,1.222071,0.546009,0.789278,0.756851,0.776307
314,1.235443,0.547924,0.784731,0.761517,0.775446
315,1.228541,0.55295,0.786287,0.75697,0.77456
316,1.230207,0.551753,0.788561,0.757329,0.776068
317,1.229836,0.544573,0.789518,0.755534,0.775924
318,1.23103,0.544214,0.78509,0.756492,0.773651
319,1.219487,0.550317,0.788202,0.763312,0.778246
320,1.22746,0.548283,0.792629,0.760201,0.779658
321,1.229848,0.556898,0.789278,0.765227,0.779658
322,1.219966,0.541941,0.793945,0.752543,0.777384
323,1.21916,0.551873,0.789877,0.75709,0.776762
324,1.219876,0.54912,0.787005,0.770611,0.780448
325,1.21742,0.551394,0.789159,0.765346,0.779634
326,1.21329,0.548881,0.793586,0.765466,0.782338
327,1.220336,0.553668,0.794185,0.761278,0.781022
328,1.215966,0.556659,0.792749,0.765466,0.781836
329,1.217324,0.539069,0.782817,0.754098,0.771329
330,1.214405,0.539787,0.781261,0.752184,0.76963
331,1.217324,0.546368,0.783056,0.755295,0.771952
332,1.212855,0.552591,0.789996,0.755893,0.776355
333,1.209358,0.543975,0.784851,0.752303,0.771832
334,1.211316,0.561924,0.793706,0.765825,0.782554
335,1.200457,0.543616,0.790355,0.770492,0.78241
336,1.216367,0.546488,0.790355,0.75697,0.777001
337,1.208822,0.55642,0.797655,0.759124,0.782242
338,1.207181,0.560369,0.797894,0.768697,0.786215
339,1.206402,0.534043,0.777073,0.742013,0.763049
340,1.202659,0.552591,0.795142,0.760321,0.781213
341,1.207476,0.562403,0.794663,0.759124,0.780448
342,1.203578,0.554984,0.791193,0.750389,0.774871
343,1.202321,0.560488,0.794065,0.751107,0.776882
344,1.200041,0.539308,0.78533,0.771808,0.779921
345,1.198763,0.550078,0.785928,0.763552,0.776977
346,1.202218,0.544334,0.789877,0.748953,0.773507
347,1.205914,0.554745,0.789159,0.766663,0.78016
348,1.1995,0.55642,0.793108,0.760799,0.780184
349,1.19031,0.557856,0.79239,0.765705,0.781716
350,1.198507,0.551394,0.787484,0.771449,0.78107
351,1.197545,0.544573,0.782577,0.766064,0.775972
352,1.190733,0.548762,0.789398,0.761398,0.778198
353,1.19438,0.552112,0.788321,0.76044,0.777169
354,1.198351,0.546847,0.790595,0.756013,0.776762
355,1.193565,0.555343,0.796219,0.759962,0.781716
356,1.196868,0.557616,0.785928,0.762834,0.77669
357,1.191637,0.563719,0.798492,0.766304,0.785617
358,1.184672,0.542659,0.789518,0.763312,0.779036
359,1.19037,0.557616,0.794065,0.763073,0.781668
360,1.18572,0.55295,0.794783,0.766064,0.783295
361,1.188101,0.558334,0.792629,0.759603,0.779418
362,1.186494,0.546488,0.793945,0.762953,0.781548
363,1.184571,0.552112,0.790116,0.766543,0.780687
364,1.183994,0.554386,0.788561,0.76391,0.7787
365,1.184772,0.55283,0.789877,0.756013,0.776331
366,1.187914,0.555343,0.792031,0.762235,0.780112
367,1.179509,0.546608,0.790595,0.758286,0.777671
368,1.174022,0.557736,0.793347,0.761757,0.780711
369,1.181116,0.558813,0.79215,0.747397,0.774249
370,1.182255,0.543975,0.78521,0.760321,0.775254
371,1.18502,0.5563,0.793826,0.761996,0.781094
372,1.182876,0.553907,0.788561,0.764628,0.778988
373,1.185494,0.557616,0.794065,0.759722,0.780328
374,1.174756,0.542778,0.787364,0.757688,0.775494
375,1.176467,0.563121,0.796817,0.766064,0.784516
376,1.16675,0.558693,0.79574,0.769176,0.785114
377,1.179029,0.552232,0.791552,0.767859,0.782075
378,1.172917,0.547565,0.786766,0.763552,0.77748
379,1.170262,0.553428,0.794903,0.762116,0.781788
380,1.171912,0.56001,0.790236,0.762834,0.779275
381,1.170956,0.558095,0.795501,0.759004,0.780902
