candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_b99ad142b1,0.3703,3.963,502.644,5.3306,91.63,2,6,6,2,True,0.518635,0.670778,1.0,2_lipinski_violations
CAND_2586b394fa,0.1503,4.923,538.722,1.2279,141.11,5,9,11,1,False,0.436135,0.564111,1.0,1_lipinski_violations;veber_fail
CAND_bc2eb1b5fa,0.6789,3.081,454.575,3.5355,64.49,2,8,4,0,True,0.855505,0.768778,1.0,no_major_descriptor_risk
CAND_e6a938f9a0,0.8292,3.519,407.493,3.3757,45.03,1,5,2,0,True,0.92314,0.720111,1.0,no_major_descriptor_risk
CAND_baa376c0dd,0.7809,4.478,431.519,3.215,72.49,2,7,3,0,True,0.901405,0.613556,1.0,no_major_descriptor_risk
CAND_f169596727,0.6963,3.614,388.475,2.6926,48.6,0,6,0,0,True,0.863335,0.709556,1.0,no_major_descriptor_risk
CAND_fc294c63f6,0.3721,3.02,398.526,3.497,40.1,1,5,10,0,True,0.717445,0.775556,1.0,no_major_descriptor_risk
CAND_435eaf1872,0.5345,2.861,414.941,2.6149,55.7,1,7,6,0,True,0.790525,0.793222,1.0,no_major_descriptor_risk
CAND_6a3c9334b8,0.6437,3.922,448.546,3.4455,73.28,3,7,5,0,True,0.839665,0.675333,1.0,no_major_descriptor_risk
CAND_9d75308b45,0.5195,3.289,424.524,2.5216,78.48,2,7,7,0,True,0.783775,0.745667,1.0,no_major_descriptor_risk
CAND_bc25cf8d1d,0.7744,4.056,436.535,3.1427,57.06,2,6,3,0,True,0.89848,0.660444,1.0,no_major_descriptor_risk
CAND_27cad9f8da,0.9335,2.875,339.826,3.1147,38.56,1,3,3,0,True,0.970075,0.791667,1.0,no_major_descriptor_risk
CAND_1a1d3a703d,0.3505,3.314,406.49,3.0129,94.33,3,8,8,0,True,0.707725,0.742889,1.0,no_major_descriptor_risk
CAND_6de59c18c7,0.8225,2.844,389.459,3.0849,70.48,2,7,5,0,True,0.920125,0.795111,1.0,no_major_descriptor_risk
CAND_e6d041091b,0.4779,3.545,434.565,2.2643,51.02,2,5,5,0,True,0.765055,0.717222,1.0,no_major_descriptor_risk
CAND_645fdf9cf8,0.6412,3.183,360.457,3.8333,56.84,1,4,5,0,True,0.83854,0.757444,1.0,no_major_descriptor_risk
CAND_ccf270f33b,0.5457,3.111,401.47,3.9851,63.92,1,6,5,0,True,0.795565,0.765444,1.0,no_major_descriptor_risk
CAND_62a82bbd2d,0.6375,3.205,418.457,3.0878,85.51,1,8,5,0,True,0.836875,0.755,1.0,no_major_descriptor_risk
CAND_1e3a57164b,0.4467,4.35,435.528,2.0141,79.38,3,8,7,0,True,0.751015,0.627778,1.0,no_major_descriptor_risk
CAND_323ae8bb99,0.3945,2.969,389.459,3.6379,63.92,1,6,6,0,True,0.727525,0.781222,1.0,no_major_descriptor_risk
CAND_f0651a9cfd,0.4932,3.216,352.825,3.7033,58.01,2,3,4,0,True,0.77194,0.753778,1.0,no_major_descriptor_risk
CAND_a5703c232e,0.7731,3.7,277.343,2.0496,45.65,2,4,4,0,True,0.897895,0.7,1.0,no_major_descriptor_risk
CAND_87b36b5c7f,0.3899,5.098,547.701,1.7876,112.54,4,9,8,1,True,0.626455,0.544667,1.0,1_lipinski_violations
CAND_8088ec5a6a,0.2579,5.148,520.696,2.6878,83.03,3,8,8,1,True,0.567055,0.539111,1.0,1_lipinski_violations
CAND_af77f3263b,0.3654,4.837,545.685,1.6863,112.54,4,9,8,1,True,0.61543,0.573667,1.0,1_lipinski_violations
CAND_1934008e8c,0.4289,5.021,587.697,2.7115,112.87,3,9,8,1,True,0.644005,0.553222,1.0,1_lipinski_violations
CAND_532a441264,0.0891,5.526,534.746,2.8314,118.17,7,8,12,2,False,0.309595,0.497111,1.0,2_lipinski_violations;veber_fail
CAND_2c9dc917e3,0.2875,4.737,581.718,3.8586,115.1,3,8,8,1,True,0.580375,0.584778,1.0,1_lipinski_violations
CAND_f4562efd55,0.2117,5.287,536.718,1.6059,132.08,5,8,10,1,True,0.546265,0.523667,1.0,1_lipinski_violations
CAND_c915f8627d,0.296,5.212,554.692,2.9271,121.41,3,8,9,1,True,0.5842,0.532,1.0,1_lipinski_violations
CAND_fb49b55677,0.3717,4.826,543.669,2.4063,121.66,4,9,8,1,True,0.618265,0.574889,1.0,1_lipinski_violations
CAND_8543810958,0.2945,5.196,587.766,1.6545,135.32,5,9,9,1,True,0.583525,0.533778,1.0,1_lipinski_violations
CAND_f77280de93,0.2029,5.076,588.754,1.4179,138.56,5,10,10,1,True,0.542305,0.547111,1.0,1_lipinski_violations
CAND_49a4c47971,0.2682,3.991,438.454,2.4519,106.56,3,6,12,0,False,0.58819,0.667667,1.0,veber_fail
CAND_1cc95fb461,0.4477,3.511,428.418,3.9683,101.62,3,4,5,0,True,0.751465,0.721,1.0,no_major_descriptor_risk
CAND_7b27b9c5bb,0.796,2.125,256.309,2.7411,65.85,2,5,5,0,True,0.9082,0.875,1.0,no_major_descriptor_risk
CAND_e0bac0032c,0.3657,4.2,462.476,2.7933,95.94,4,8,7,0,True,0.714565,0.644444,1.0,no_major_descriptor_risk
CAND_d28438001f,0.4501,3.516,429.406,3.3633,114.51,3,5,5,0,True,0.752545,0.720444,1.0,no_major_descriptor_risk
CAND_639597613a,0.5226,4.163,379.386,3.3226,68.53,3,6,6,0,True,0.78517,0.648556,1.0,no_major_descriptor_risk
CAND_f8867ac106,0.1127,3.78,400.449,1.7591,95.73,5,7,12,0,False,0.518215,0.691111,1.0,veber_fail
CAND_0be8e8e274,0.2088,3.372,439.417,1.8627,130.25,4,4,7,0,True,0.64396,0.736444,1.0,no_major_descriptor_risk
CAND_8ce6d41a2c,0.2756,3.283,423.443,2.8205,130.78,4,5,9,0,True,0.67402,0.746333,1.0,no_major_descriptor_risk
CAND_2333b40a1e,0.6756,3.36,356.323,3.1386,80.04,3,4,1,0,True,0.85402,0.737778,1.0,no_major_descriptor_risk
CAND_d8529cee66,0.3379,3.0,330.779,0.7724,100.31,2,4,2,0,True,0.702055,0.777778,1.0,no_major_descriptor_risk
CAND_352e3089bd,0.4489,3.175,381.415,1.9671,117.32,4,7,6,0,True,0.752005,0.758333,1.0,no_major_descriptor_risk
