candidate_id,lipinski_violations,veber_pass,main_risk
CAND_a0603c5225,2,True,2_lipinski_violations
CAND_e3657e0a67,2,True,2_lipinski_violations
CAND_d928627c78,2,True,2_lipinski_violations
CAND_38ea28b06b,1,True,1_lipinski_violations
CAND_bdd5691771,1,True,1_lipinski_violations
CAND_4e0086684e,1,True,1_lipinski_violations
CAND_e0ef8c3b70,1,True,1_lipinski_violations
CAND_b94b26d5c7,1,True,1_lipinski_violations
CAND_e4d4f58355,1,True,1_lipinski_violations
CAND_e1678c789f,1,True,1_lipinski_violations
CAND_21d4f45aae,1,True,1_lipinski_violations
CAND_8df3b9e204,1,True,1_lipinski_violations
CAND_6ab444ca4f,1,True,1_lipinski_violations
CAND_9bf9ae8972,1,True,1_lipinski_violations
CAND_b7fa23672c,0,True,no_major_descriptor_risk
CAND_0ccbe9e11d,0,True,no_major_descriptor_risk
CAND_92f435b98d,1,True,1_lipinski_violations
CAND_061368aa1a,2,True,2_lipinski_violations
CAND_642cc50c04,1,True,1_lipinski_violations
CAND_2b39f7e296,2,True,2_lipinski_violations
CAND_555032fd7b,1,True,1_lipinski_violations
CAND_9bdc8d03a2,2,True,2_lipinski_violations
CAND_e8a0a80468,1,True,1_lipinski_violations
CAND_ddf59cbbad,1,True,1_lipinski_violations
CAND_a89c7b257c,1,True,1_lipinski_violations
CAND_7dbd341dec,1,True,1_lipinski_violations
CAND_53d8dc4b30,2,True,2_lipinski_violations
CAND_d91102f369,2,True,2_lipinski_violations
CAND_8547f16377,1,True,1_lipinski_violations
CAND_cbefb48bda,1,True,1_lipinski_violations
CAND_85f6bc1e7f,1,True,1_lipinski_violations
CAND_c2262ec0c2,1,True,1_lipinski_violations
CAND_38a13d949b,0,True,no_major_descriptor_risk
CAND_f00ba45459,1,True,1_lipinski_violations
CAND_737ea61658,0,True,no_major_descriptor_risk
CAND_6787861775,1,True,1_lipinski_violations
CAND_bafcb87dc8,1,True,1_lipinski_violations
