mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_0d9a1ad05b,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,409.223,2.8166,113.53,3,8,6,0.5698,25,25,3,6,0,,True
JAK2_c4d9eb4f14,CC(=O)Nc1ccc(-c2ccnc(NC3CCCC(NC(=O)c4c(Cl)cccc4Cl)C3)n2)cc1,498.414,5.5619,96.01,3,5,6,0.4136,34,34,4,6,0,,True
JAK2_821a4c0e24,C[C@@H](NC(=O)c1c[nH]c2ncc(-n3ncc4cc(Cl)ccc43)nc12)C(=O)N1CC(C#N)C1,448.874,2.0505,132.59,2,6,4,0.4906,32,32,5,6,0,,True
JAK2_2a0691a470,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,488.365,6.7669,44.37,2,2,3,0.4277,33,33,5,6,0,,True
JAK2_5d4e57723f,CNC(=O)c1cnc(N)c2cc(-c3ccc(C(C)(C)C)cc3)sc12,339.464,4.2026,68.01,2,4,2,0.735,24,24,3,6,0,,True
JAK2_8db4a8b97f,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,582.627,2.8689,102.73,3,6,7,0.3707,42,42,4,6,0,,True
JAK2_aea62984ba,C1=C/CNc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,344.418,4.6378,59.07,2,5,0,0.582,26,26,4,17,0,,True
JAK2_260f9e930a,CC(C)(C#N)NC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,442.523,3.7558,103.17,2,7,6,0.5991,33,33,4,6,0,,True
JAK2_379928ad0b,Cc1ccc(Cn2ccs/c2=N\C(=O)CCl)cc1,280.78,2.5724,34.36,0,2,3,0.7959,18,18,2,6,0,,True
JAK2_6d4bc95598,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nn12,414.513,3.9003,57.93,1,6,5,0.5346,31,31,5,6,0,,True
JAK2_4f45584432,C[C@@H](NC(=O)c1c[nH]c2ncc(-c3cnc4cc(Cl)ccn34)nc12)C(=O)N1CC(C#N)C1,448.874,2.0263,132.07,2,6,4,0.4905,32,32,5,6,0,,True
JAK2_ae93ba0eb4,Cc1noc(C)c1-c1ccc2[nH]nc(N)c2c1,228.255,2.4169,80.73,2,4,1,0.6698,17,17,3,6,0,,False
JAK2_d71f5ff66b,CC(Nc1nc(Nc2cn(C)cn2)c2cn[nH]c2n1)c1ncc(F)cn1,354.353,1.9322,122.12,3,8,5,0.4968,26,26,4,6,0,,True
JAK2_0ca7f05399,CC(C)Cn1cc(-c2cccn3nc(Nc4ccc(C(=O)O)cc4)nc23)cn1,376.42,3.6906,97.34,2,5,6,0.5326,28,28,4,6,0,,True
JAK2_f4012c0c35,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,301.781,3.4839,69.62,1,4,1,0.7468,21,21,3,6,0,,True
JAK2_4cdfd96edb,O=c1cc(-c2[nH]c(-c3ccc(-c4cn(CCP(=O)([O-])[O-])nn4)cc3)nc2-c2ccc(F)cc2)cc[nH]1.[Na+].[Na+],550.398,-3.5817,155.44,2,7,7,0.1569,38,38,5,6,0,,True
JAK2_f92f7b4efe,O=c1[nH]ccc2nc(N3CCC(F)(F)C3)c(-c3ccc(F)cc3)cc12,345.324,3.5746,48.99,1,3,2,0.7724,25,25,4,6,0,,True
JAK2_5e05d7987e,Cc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,486.616,5.2732,68.74,1,7,4,0.5038,36,36,5,18,0,,True
JAK2_1e3c7a3902,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C[C@H](C)O)CC4)cc3)nn12,458.566,3.6513,78.16,2,7,7,0.4377,34,34,5,6,0,,True
JAK2_e70174d250,NC(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,338.375,0.4702,128.32,2,7,3,0.71,25,25,4,6,0,,True
JAK2_7044b47d7e,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(-c2ccccc2Cl)o1,364.788,4.0614,62.55,1,3,3,0.5628,26,26,4,6,0,,True
