"run_id","stage","started_at","finished_at","status","input_path","output_path","molecules_in","molecules_out","random_seed","notes"
"20260508_230059_m5_docking_manifest_61c9b4f5","M5_docking_manifest","2026-05-08T17:30:59Z","2026-05-08T17:30:59Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_pdbqt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","146","146","42","Run commands manually or through a controlled notebook loop"
"20260508_230108_m5_vina_run_83bc0e57","M5_vina_run","2026-05-08T17:31:08Z","2026-05-08T17:31:08Z","dry_run","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","3","0","42","failed=0"
"20260508_230152_m5_docking_manifest_35b837c1","M5_docking_manifest","2026-05-08T17:31:52Z","2026-05-08T17:31:52Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_pdbqt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","146","146","42","Run commands manually or through a controlled notebook loop"
"20260508_230200_m5_vina_run_a84258a1","M5_vina_run","2026-05-08T17:32:00Z","2026-05-08T17:32:00Z","dry_run","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","2","0","42","failed=0"
"20260508_230200_m0_validation_d56eea9e","M0_validation","2026-05-08T17:32:00Z","2026-05-08T17:32:00Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","46 passed, 1 open/failed"
"20260508_230314_m0_validation_fbcf280a","M0_validation","2026-05-08T17:33:14Z","2026-05-08T17:33:14Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","46 passed, 1 open/failed"
"20260508_230324_m0_registry_c26b1c25","M0_registry","2026-05-08T17:33:24Z","2026-05-08T17:33:24Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","","","42","Project tree and registry initialized"
"20260508_230354_m5_pdbqt_prep_ad5744b0","M5_pdbqt_prep","2026-05-08T17:33:54Z","2026-05-08T17:33:54Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\pdbqt_preparation_summary.json","","","42","receptor=prepared; ligands_prepared=136, skipped=10, failed=0"
"20260508_230402_m0_registry_0e48322c","M0_registry","2026-05-08T17:34:02Z","2026-05-08T17:34:02Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","","","42","Project tree and registry initialized"
"20260508_230409_m0_validation_16c7152d","M0_validation","2026-05-08T17:34:09Z","2026-05-08T17:34:09Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","46 passed, 1 open/failed"
"20260508_230834_m5_vina_run_b326ae32","M5_vina_run","2026-05-08T17:38:34Z","2026-05-08T17:38:34Z","dry_run","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","3","0","42","failed=0"
"20260508_230839_m5_vina_run_a384d686","M5_vina_run","2026-05-08T17:38:39Z","2026-05-08T17:38:39Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","3","0","42","failed=3"
"20260508_230857_m5_docking_manifest_c7bc74b4","M5_docking_manifest","2026-05-08T17:38:57Z","2026-05-08T17:38:57Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_pdbqt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","146","146","42","Run commands manually or through a controlled notebook loop"
"20260508_230933_m5_vina_run_b239e2df","M5_vina_run","2026-05-08T17:39:33Z","2026-05-08T17:39:33Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","3","3","42","failed=0"
"20260508_230941_m5_docking_parse_37892588","M5_docking_parse","2026-05-08T17:39:41Z","2026-05-08T17:39:41Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv","146","3","42","Parsed 3 Vina scores"
"20260508_230955_m0_validation_8684b4c7","M0_validation","2026-05-08T17:39:55Z","2026-05-08T17:39:55Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","48 passed, 0 open/failed"
"20260508_230955_m7_ranking_296852a6","M7_ranking","2026-05-08T17:39:55Z","2026-05-08T17:39:55Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","595","595","42","Consensus ranking generated"
"20260508_231138_m5_vina_run_9858a761","M5_vina_run","2026-05-08T17:41:38Z","2026-05-08T17:41:38Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","10","10","42","failed=0"
"20260508_231147_m5_docking_parse_9e3c4bd8","M5_docking_parse","2026-05-08T17:41:47Z","2026-05-08T17:41:47Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv","146","13","42","Parsed 13 Vina scores"
"20260508_231344_m5_vina_run_2c45d4e4","M5_vina_run","2026-05-08T17:43:44Z","2026-05-08T17:43:44Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","10","10","42","failed=0"
"20260508_231352_m5_docking_parse_90731c48","M5_docking_parse","2026-05-08T17:43:52Z","2026-05-08T17:43:52Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\vina_command_manifest.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv","146","23","42","Parsed 23 Vina scores"
