mol_id,source,source_id,canonical_smiles,inchikey,activity_type,activity_value_nM,p_activity,target,assay_id,confidence_score,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,split,notes
PREMAC_2997fbe773,ChEMBL_macrocycle_scan,CHEMBL290242,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@H](N)[C@H](C)[C@@H](O)[C@]1(C)O,XCLJRCAJSCMIND-JCTYMORFSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_4791032cf8,ChEMBL_macrocycle_scan,CHEMBL266822,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN(CCCN(C)C)C(=O)CN)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1C,JDCQOHUIRVYGDP-AFKLHIJLSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_16ec9efcf1,ChEMBL_macrocycle_scan,CHEMBL297822,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(NCCc3ccccc3)C(=O)O[C@]12C,UXHKPTGMWFAWSI-IDIDBGRKSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_5d4ba6ac24,ChEMBL_macrocycle_scan,CHEMBL437432,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,ZKWQQXZUCOBISE-BWWRBHOYSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_a1d5d74b7e,ChEMBL_macrocycle_scan,CHEMBL43414,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccc(OC)cc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,JJNCUDCQBHQTEP-JRCIRHIHSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_db65bf6d21,ChEMBL_macrocycle_scan,CHEMBL297039,CCn1cc(C(=O)Nc2ccc3c(c2)C(=O)NCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](Cc2ccccc2)CO3)c(=O)c2ccc(C)nc21,FBNQLZUCWMSTKD-CUBQBAPOSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_3b0864b9f0,ChEMBL_macrocycle_scan,CHEMBL432725,N=C(N)NCCC[C@@H]1NC(=O)CNC(=O)CCSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,DFGWDLNQNIFHBN-SRVKXCTJSA-N,,,,broad_macrocycle_pretrain,,,19,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_e161399fea,ChEMBL_macrocycle_scan,CHEMBL306702,C[C@@H](O)[C@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSC[C@H](C(=O)O)NC1=O,UVIRGNNFCYBSOY-AVTGEJSLSA-N,,,,broad_macrocycle_pretrain,,,19,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_4ac990e813,ChEMBL_macrocycle_scan,CHEMBL266208,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CCOc2ccccc2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](O)[C@H]1OC,OHHWTQJQDTVQOM-SHNLVAHDSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_1e50f38ed3,ChEMBL_macrocycle_scan,CHEMBL287898,CCOC(=O)c1ccc(OCC[C@H]2C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]2O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)cc1,GUDJHXNEEDYSQH-UIBXCPBPSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_4685804740,ChEMBL_macrocycle_scan,CHEMBL273275,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C3CCCC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,LUFXWRGOFGFWQK-IUMIYALLSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_3d0cd33590,ChEMBL_macrocycle_scan,CHEMBL266560,CC[C@H]1OC(=O)CC(O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CCCCC2)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,JYZBLBNKRABAJY-SANHPOADSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_a77d4eec57,ChEMBL_macrocycle_scan,CHEMBL288885,CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCO)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,SFZHIQOBXLORCI-NLGRAQRVSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_d2835e03a0,ChEMBL_macrocycle_scan,CHEMBL55556,CO/C1=C\C(C)=C\[C@@H](C)C(=O)[C@@H](C)C/C(C)=C/C=C/[C@H](OC)[C@@H]([C@@H](C)[C@@H](O)[C@H](C)[C@@]2(O)C[C@@H](O)[C@H](C)[C@@H](C(C)C)O2)OC1=O,SXPGMICPSLQFEA-NDUAABOZSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_1992001df6,ChEMBL_macrocycle_scan,CHEMBL304756,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O,PTHCNAFMSNFAAH-DKLFHUDLSA-N,,,,broad_macrocycle_pretrain,,,15,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_f1d017daba,ChEMBL_macrocycle_scan,CHEMBL13529,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)/C=C/c3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)cc1Cl,QLGFKEFRTAOKJU-XVUNPSCXSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_298fe11ce2,ChEMBL_macrocycle_scan,CHEMBL25891,COC1=C2C[C@H](C)C[C@H](OC)[C@@H](O)[C@H](C)/C=C(\C)C[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,QLILXEQZDZEGJK-WHUPZRLBSA-N,,,,broad_macrocycle_pretrain,,,20,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_b983aad1b4,ChEMBL_macrocycle_scan,CHEMBL9780,CC1CCOC(=O)/C=C/C=C\C(=O)O[C@@H]2C[C@H]3O[C@@H]4C[C@@H](C)[C@H](O)C[C@]4(COC(=O)C1O)[C@]2(C)C31CO1,ZXJNGNSKZPGCAW-LLDHFCMOSA-N,,,,broad_macrocycle_pretrain,,,18,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
