ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_123e890bcc,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_123e890bcc.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_123e890bcc.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
CAND_1258fa0495,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1258fa0495.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1258fa0495.pdbqt,42,11,4,CG->C:2;G0->C:2,cleaned
CAND_1270d75c06,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1270d75c06.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1270d75c06.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_134e224ee7,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_134e224ee7.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_134e224ee7.pdbqt,37,9,4,CG->C:2;G0->C:2,cleaned
CAND_138db4aa3b,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_138db4aa3b.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_138db4aa3b.pdbqt,37,9,4,CG->C:2;G0->C:2,cleaned
CAND_13c0f71e8d,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_13c0f71e8d.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_13c0f71e8d.pdbqt,38,14,4,CG->C:2;G0->C:2,cleaned
CAND_14230044a8,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_14230044a8.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_14230044a8.pdbqt,38,7,4,CG->C:2;G0->C:2,cleaned
CAND_1446de26fc,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1446de26fc.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1446de26fc.pdbqt,46,11,4,CG->C:2;G0->C:2,cleaned
CAND_147203ca8d,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_147203ca8d.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_147203ca8d.pdbqt,40,11,4,CG->C:2;G0->C:2,cleaned
CAND_14995d7ea5,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_14995d7ea5.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_14995d7ea5.pdbqt,37,1,0,,cleaned
CAND_14bff5ed78,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_14bff5ed78.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_14bff5ed78.pdbqt,45,11,4,CG->C:2;G0->C:2,cleaned
CAND_14d3f1b205,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_14d3f1b205.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_14d3f1b205.pdbqt,39,11,4,CG->C:2;G0->C:2,cleaned
CAND_14dae0a27e,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_14dae0a27e.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_14dae0a27e.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_150d19a497,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_150d19a497.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_150d19a497.pdbqt,38,7,4,CG->C:2;G0->C:2,cleaned
CAND_1543b6a94a,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1543b6a94a.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1543b6a94a.pdbqt,48,16,4,CG->C:2;G0->C:2,cleaned
CAND_156f2ea3e1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_156f2ea3e1.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_156f2ea3e1.pdbqt,48,12,4,CG->C:2;G0->C:2,cleaned
CAND_15793515ce,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_15793515ce.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_15793515ce.pdbqt,45,13,4,CG->C:2;G0->C:2,cleaned
CAND_15a9335668,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_15a9335668.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_15a9335668.pdbqt,38,12,4,CG->C:2;G0->C:2,cleaned
CAND_15b15b12d8,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_15b15b12d8.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_15b15b12d8.pdbqt,37,11,4,CG->C:2;G0->C:2,cleaned
CAND_15d5541ac6,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_15d5541ac6.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_15d5541ac6.pdbqt,45,13,4,CG->C:2;G0->C:2,cleaned
CAND_15f78693b6,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_15f78693b6.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_15f78693b6.pdbqt,46,11,4,CG->C:2;G0->C:2,cleaned
CAND_1626e1531d,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1626e1531d.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1626e1531d.pdbqt,46,11,4,CG->C:2;G0->C:2,cleaned
CAND_1641f8e1c6,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1641f8e1c6.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1641f8e1c6.pdbqt,42,11,4,CG->C:2;G0->C:2,cleaned
CAND_167a057e5e,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_167a057e5e.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_167a057e5e.pdbqt,35,10,4,CG->C:2;G0->C:2,cleaned
CAND_16ba775e67,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_16ba775e67.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_16ba775e67.pdbqt,40,17,4,CG->C:2;G0->C:2,cleaned
