ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_4791e858cc,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_4791e858cc.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_4791e858cc.pdbqt,37,12,4,CG->C:2;G0->C:2,cleaned
CAND_492981f42f,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_492981f42f.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_492981f42f.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
CAND_49e76c18fa,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_49e76c18fa.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_49e76c18fa.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_4b65fa0278,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_4b65fa0278.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_4b65fa0278.pdbqt,44,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_4e8257bdee,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_4e8257bdee.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_4e8257bdee.pdbqt,39,12,4,CG->C:2;G0->C:2,cleaned
CAND_4ea78847f9,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_4ea78847f9.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_4ea78847f9.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_5152217faa,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5152217faa.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5152217faa.pdbqt,42,8,4,CG->C:2;G0->C:2,cleaned
CAND_53308bee89,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_53308bee89.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_53308bee89.pdbqt,37,10,4,CG->C:2;G0->C:2,cleaned
CAND_5580e1eed5,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5580e1eed5.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5580e1eed5.pdbqt,42,8,4,CG->C:2;G0->C:2,cleaned
CAND_5682a4f941,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_5682a4f941.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_5682a4f941.pdbqt,49,10,4,CG->C:2;G0->C:2,cleaned
